sol_id,method,primary,eps_f2,eps_f3,f1,f2,f3,eps_f1,w1,w2,w3
wgt_47,weighting,,,,4697.0,989952828.083334,75989.79243077911,,0.0,0.2,0.8
wgt_48,weighting,,,,2236.9982559536834,987647958.7500002,64588.731346322034,,0.1,0.5,0.4
wgt_49,weighting,,,,2467.7486876460202,983571537.5833341,-15136.561992459014,,0.1,0.9,0.0
wgt_50,weighting,,,,5.485319683720796,1032012573.0833334,49455.96558705352,,0.6,0.2,0.2
wgt_53,weighting,,,,160.53807083734097,1024560960.8333335,50609.7910559251,,0.4,0.4,0.2
wgt_54,weighting,,,,4869.0,978317693.0833338,66941.93317154942,,0.0,0.6,0.4
wgt_55,weighting,,,,2033.4615731340955,986315361.5833335,60466.85508208495,,0.1,0.7,0.2
wgt_56,weighting,,,,1289.7194143237602,997760849.5833335,58828.724269356724,,0.2,0.3,0.5
wgt_57,weighting,,,,13.591400151728344,1031024087.6666667,49480.129211146195,,0.5,0.2,0.3
wgt_58,weighting,,,,5.485319683713707,1032013287.0833333,49455.96558705352,,0.7,0.2,0.1
wgt_59,weighting,,,,1393.5297979553325,995798386.1666667,59114.37714116371,,0.2,0.5,0.3
wgt_61,weighting,,,,497.49544952924384,1012167333.8333336,-17281.099053254155,,0.4,0.6,0.0
wgt_62,weighting,,,,671.5188307948024,1007989128.1666667,53230.81993414002,,0.3,0.6,0.1
wgt_63,weighting,,,,3167.9450864510113,1163670616.916667,72745.46681983737,,0.1,0.0,0.9
wgt_64,weighting,,,,2192.9982559536793,988131433.7500002,64581.90390236532,,0.1,0.4,0.5
wgt_65,weighting,,,,15.571721089567072,1030936825.6666667,49518.976249206404,,0.3,0.1,0.6
